name,path,has_oms,has_carbon,has_hydrogen,has_atomic_overlaps,has_overcoordinated_c,has_metal,density
QARLON_clean,/home/kevin/mof_core2/QARLON_clean.cif,True,True,True,True,False,True,1.574435002927957
ITIBOD_clean,/home/kevin/mof_core2/ITIBOD_clean.cif,True,True,True,False,False,True,2.4259940673353024
RESSAK_clean,/home/kevin/mof_core2/RESSAK_clean.cif,False,True,True,False,False,True,1.1798115688295892
SOHNAF_clean,/home/kevin/mof_core2/SOHNAF_clean.cif,True,True,True,False,False,True,1.1760779806745856
RIXPIZ_clean,/home/kevin/mof_core2/RIXPIZ_clean.cif,False,True,True,False,False,True,0.5699433999076434
FABCUI_clean,/home/kevin/mof_core2/FABCUI_clean.cif,True,True,True,False,False,True,1.0927459490540368
WOLROF_clean,/home/kevin/mof_core2/WOLROF_clean.cif,True,True,True,True,False,True,0.9148646006717156
jacs.6b02030_ja6b02030_si_002_clean,/home/kevin/mof_core2/jacs.6b02030_ja6b02030_si_002_clean.cif,True,True,True,False,False,True,1.613017217015138
UMOVEZ02_clean,/home/kevin/mof_core2/UMOVEZ02_clean.cif,True,True,True,False,False,True,0.554256882618988
AZOHEC_clean,/home/kevin/mof_core2/AZOHEC_clean.cif,True,True,True,False,False,True,1.4810264496565657
TENLIJ_clean,/home/kevin/mof_core2/TENLIJ_clean.cif,True,True,True,False,False,True,1.144272938696604
LATCEO_clean,/home/kevin/mof_core2/LATCEO_clean.cif,True,False,False,False,False,True,1.0972602714339865
GAJZUO_clean,/home/kevin/mof_core2/GAJZUO_clean.cif,True,True,True,False,False,True,1.358182356416688
WEMCUO_clean,/home/kevin/mof_core2/WEMCUO_clean.cif,True,True,True,False,False,True,2.5251762065337795
YOYPOT_clean,/home/kevin/mof_core2/YOYPOT_clean.cif,False,True,True,False,False,True,1.1198834890513574
MAYJOM_clean,/home/kevin/mof_core2/MAYJOM_clean.cif,False,True,True,False,False,True,1.252387765047573
acs.inorgchem.6b02007_Ru-Cd_clean,/home/kevin/mof_core2/acs.inorgchem.6b02007_Ru-Cd_clean.cif,False,True,True,False,False,True,0.8541318964459861
FAVGIV_clean,/home/kevin/mof_core2/FAVGIV_clean.cif,False,True,True,False,False,True,1.6303495658962168
FEVSAC_clean,/home/kevin/mof_core2/FEVSAC_clean.cif,True,True,True,False,False,True,1.3034222419507062
POBVIN_clean,/home/kevin/mof_core2/POBVIN_clean.cif,True,True,True,False,False,True,0.8692251821100992
KAKCEH02_clean,/home/kevin/mof_core2/KAKCEH02_clean.cif,False,True,True,False,False,True,1.0397620313087537
POKVOC_clean,/home/kevin/mof_core2/POKVOC_clean.cif,False,True,True,False,False,True,2.0410263954429104
OWIHEJ_clean,/home/kevin/mof_core2/OWIHEJ_clean.cif,False,True,True,False,False,True,1.3331354544046106
IBIYOI_ion_b,/home/kevin/mof_core2/IBIYOI_ion_b.cif,True,True,True,False,False,True,1.975645174187911
FOPTOU_clean,/home/kevin/mof_core2/FOPTOU_clean.cif,True,True,True,True,False,True,1.4267659187044879
CETPIB02_clean,/home/kevin/mof_core2/CETPIB02_clean.cif,True,True,True,False,False,True,1.1996659256482283
NIMVIP_clean,/home/kevin/mof_core2/NIMVIP_clean.cif,True,True,True,False,False,True,2.1800818697567297
TAJWAF_clean,/home/kevin/mof_core2/TAJWAF_clean.cif,False,True,True,False,True,True,1.3496775835918877
UJUQIB_clean,/home/kevin/mof_core2/UJUQIB_clean.cif,False,True,True,False,False,True,0.774000402118261
ILINIC_clean,/home/kevin/mof_core2/ILINIC_clean.cif,True,False,False,False,False,True,3.152891881179643
TEMPEI_clean,/home/kevin/mof_core2/TEMPEI_clean.cif,True,True,True,False,False,True,0.5924589872674697
VASFON_clean,/home/kevin/mof_core2/VASFON_clean.cif,False,True,True,False,False,True,1.5867779450755537
TONMEQ_clean,/home/kevin/mof_core2/TONMEQ_clean.cif,False,True,True,False,False,True,1.7155030646283074
PAFNAO_clean,/home/kevin/mof_core2/PAFNAO_clean.cif,False,True,True,True,False,True,1.702748289634078
UPOVOL_clean,/home/kevin/mof_core2/UPOVOL_clean.cif,False,True,True,False,False,True,1.5136462751834845
